 On 2022/6/20 ,,,,,,,,,,,,
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,37,51,3309,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3319,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3329,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3339,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3357,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3367,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3377,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3387,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3397,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3407,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3417,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3465,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3474,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3484,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3494,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3504,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3514,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3524,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3541,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
