 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,55,12,1948,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1958,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1968,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1978,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1988,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,1999,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2008,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2025,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2038,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2047,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2057,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2067,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2077,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2087,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2135,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2144,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2154,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2164,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2174,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2184,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
